Product Name,Unit Price,Availability,Description Summary,Reference URL
Reasons to Stay Alive,£26.41,In stock,"I want life. I want to read it and write it and feel it and live it. I want, for as much of the...",https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
Private Paris (Private #10),£47.61,In stock,Paris is burning--and only Private's Jack Morgan can put out the fire.When Jack Morgan stops by...,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,In stock,There is a cosmic alarm clock going off around the world! #HigherSelfie's aim is to unite all t...,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
Without Borders (Wanderlove #1),£45.07,In stock,"For Annie London, a month in a Central American rainforest means handing out mosquito nets, giv...",https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
When We Collided,£31.77,In stock,"We are seventeen and shattered and still dancing. We have messy, throbbing hearts, and we are s...",https://books.toscrape.com/catalogue/when-we-collided_955/index.html
"We Love You, Charlie Freeman",£50.27,In stock,"The Freeman family--Charles, Laurel, and their daughters, teenage Charlotte and nine-year-old C...",https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
Untitled Collection: Sabbath Poems 2014,£14.27,In stock,"More than thirty-five years ago, when the weather allowed, Wendell Berry began spending his sab...",https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,In stock,It all started with Nathanael Johnson’s decision to teach his daughter the name of every tree t...,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
Unicorn Tracks,£18.78,In stock,"After a savage attack drives her from her home, sixteen-year-old Mnemba finds a place in her co...",https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,In stock,"Although we usually think of technology as something unique to modern times, our ancestors bega...",https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,In stock,"DUAL WORLDS, DUAL SIGHTS In the land of Nirai Kanai, there are two realms, one that is the ""out...",https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,In stock,Capital in the Twenty-First Century meets The Second Machine Age in this stunning and optimisti...,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
This One Summer,£19.49,In stock,"Every summer, Rose goes with her mom and dad to a lake house in Awago Beach. It's their getaway...",https://books.toscrape.com/catalogue/this-one-summer_947/index.html
Thirst,£17.27,In stock,"On a searing summer Friday, Eddie Chapman has been stuck for hours in a traffic jam. There are ...",https://books.toscrape.com/catalogue/thirst_946/index.html
The Torch Is Passed: A Harding Family Story,£19.09,In stock,Andrea Harding is a recent college graduate looking forward to attending Duke Law School when h...,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
The Secret of Dreadwillow Carse,£56.13,In stock,A princess and a peasant girl must embark on a dangerous quest to outwit a centuries-old warnin...,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,In stock,"THERE’S NO TIME LIKE DINNERTIME!Oh, don’t get me wrong. I adore breakfast. I love lunch! But di...",https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
The Past Never Ends,£56.50,In stock,"A simple task, Attorney Chester Morgan thinks. Get a copy of a public record for a young man wh...",https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
The Natural History of Us (The Fine Art of Pretending #2),£45.22,In stock,One class assignment. One second chance at love. The school player is all in. Now he needs to w...,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
The Nameless City (The Nameless City #1),£38.16,In stock,"Every nation that invades the City gives it a new name. But before long, new invaders arrive an...",https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
The Murder That Never Was (Forensic Instincts #5),£54.11,In stock,"Given the opportunity, would you assume someone else's identity and leave your old life behind?...",https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,In stock,Renowned ornithologist Tim Birkhead opens this gripping story as a female guillemot chick hatch...,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,In stock,Is anxiety and fear a problem for you? Have you tried to win the war with your anxious mind and...,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,In stock,"Despite constant efforts to declutter your home, do papers still accumulate like snowdrifts and...",https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,In stock,"Slay Procrastination, Distraction, and Overwhelm!Who doesn’t want more time and energy for fami...",https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,In stock,"Why should girls miss out on the joy of adventure? They can jump off rocks, swing on ropes, and...",https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,In stock,"Deeds's subtle, meticulous, and wildly imaginative pencil and crayon drawings portray an unusua...",https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
The Death of Humanity: and the Case for Life,£58.11,In stock,"Do you believe human life is inherently valuable? Unfortunately, in the secularized age of stat...",https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,In stock,"In his midtwenties, Dave Asprey was a successful Silicon Valley multimillionaire. He also weigh...",https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
The Art Forger,£40.76,In stock,"On March 18, 1990, thirteen works of art today worth over $500 million were stolen from the Isa...",https://books.toscrape.com/catalogue/the-art-forger_930/index.html
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,In stock,The Age of Genius explores the eventful intertwining of outward event and inner intellectual li...,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,In stock,"Change and anger are in the air. Looking for answers to today’s wrenching challenges, William M...",https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,In stock,Marie Kondo’s unique KonMari Method of tidying up is nothing short of life-changing—and her fir...,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
Soul Reader,£39.58,In stock,Along with magic realism and a plethora of literary references throughout issues such as free w...,https://books.toscrape.com/catalogue/soul-reader_926/index.html
Security,£39.25,In stock,"“Original and imaginative . . . Ripping suspense, sheer terror, and a wrenching love story.” —S...",https://books.toscrape.com/catalogue/security_925/index.html
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,In stock,"After a dramatic time jump, the three-time Eisner Award winner for Best Continuing Series conti...",https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,In stock,Multiple storylines collide in this cosmos-spanning new volume. While Gwendolyn and Lying Cat r...,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,In stock,"From Katherine Newman, award-winning author of No Shame in My Game, and sociologist Hella Winst...",https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,In stock,"Having survived the end of the world, the Queens follow Hannah back to where it all began: Mage...",https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,In stock,THE LONG-AWAITED STORY OF FANGIRLS TAKING ON TOKYO!Special large-size 2-in-1 edition of over 40...,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Princess Between Worlds (Wide-Awake Princess #5),£13.34,In stock,"Just as Annie and Liam are busy making plans to travel the world, a witch shows up and gives th...",https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html
"Pop Gun War, Volume 1: Gift",£18.97,In stock,"""Pop Gun War is about childhood, self-discovery, oppression, guilt, dreams, loneliness, whateve...",https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,In stock,"Just in time for the presidential election of 2016 comes Political Suicide, a history of the be...",https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
Patience,£10.16,In stock,"Patience is a psychedelic science-fiction love story, veering with uncanny precision from viole...",https://books.toscrape.com/catalogue/patience_916/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,In stock,NEW HORROR SERIES FROM THE WALKING DEAD CREATOR ROBERT KIRKMAN! Kyle Barnes has been plagued by...,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,In stock,"A Plea From the FutureOn the day that Naho begins 11th grade, she recieves a letter from hersel...",https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,In stock,"If You Want People to Read Your Book, Writing It Is Only the Beginning There has truly never be...",https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html
On a Midnight Clear,£14.07,In stock,It's Christmas Eve and private investigator Adam Fraley has lost his way while traveling a remo...,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html
Obsidian (Lux #1),£14.86,In stock,"Starting over sucks.When we moved to West Virginia right before my senior year, I’d pretty much...",https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html
My Paris Kitchen: Recipes and Stories,£33.37,In stock,A collection of stories and 100 sweet and savory French-inspired recipes from popular food blog...,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html
Masks and Shadows,£56.40,In stock,"The year is 1779, and Carlo Morelli, the most renowned castrato singer in Europe, has been invi...",https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,In stock,"Cecilia Granata grew up cooking with her family in Italy. As a vegan, she learned to adapt her ...",https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,In stock,"What a mystery!Jo, April, Mal, Molly, and Ripley are not your average campers and Miss Qiunzell...",https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,In stock,FRIENDSHIP TO THE MAX!At Miss Qiunzilla Thiskwin Penniquiqul Thistle Crumpet's camp for hard-co...,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,In stock,"This New York Times Bestselling series continues with Jo, April, Mal, Molly, and Ripley as they...",https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,In stock,It’s time to venture beyond vanilla and chocolate and take your baking skills up a notch. We’re...,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,In stock,"Displaying the most impressive throws, compelling armbars, dominant pins, and decisive chokes, ...",https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html
Join,£35.67,In stock,"What if you could live multiple lives simultaneously, have constant, perfect companionship, and...",https://books.toscrape.com/catalogue/join_902/index.html
In the Country We Love: My Family Divided,£22.00,In stock,The star of Orange is the New Black and Jane the Virgin presents her personal story of the real...,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,In stock,"Around Christmas of 1882, while peering through a microscope at starfish larvae in which he had...",https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17,In stock,"From superstar writer and artist Skottie Young (Rocket Raccoon, Wizard of OZ, Fortunately, The ...",https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
I am a Hero Omnibus Volume 1,£54.63,In stock,The zombie apocalypse has never been more surreal! A mentally unhinged manga artist witnesses t...,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html
How to Be Miserable: 40 Strategies You Already Use,£46.03,In stock,"In How to Be Miserable, psychologist Randy Paterson outlines 40 specific behaviors and habits, ...",https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html
Her Backup Boyfriend (The Sorensen Family #1),£33.97,In stock,One little white lie leads to more than she planned…Straight-laced lawyer Kate Matthews always ...,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html
"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11,In stock,"Susan, Esther, and Daisy started at university three weeks ago and became fast friends. Now, aw...",https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,In stock,A Proper Historical Romance seriesThe first book in a new series which will focus on the lives ...,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
First and First (Five Boroughs #3),£15.97,In stock,"Caleb Stone was raised on the Upper East Side, where wealth and lineage reigns, and “alternativ...",https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html
Fifty Shades Darker (Fifty Shades #2),£21.96,In stock,"Daunted by the singular sexual tastes and dark secrets of the beautiful, tormented young entrep...",https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,In stock,"While everyone is talking about “big data,” the truth is that understanding the “little data”—t...",https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97,In stock,A Radical but Reverent Paraphrasing of Dogen’s Treasury of the True Dharma Eye“Even if the whol...,https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html
Danganronpa Volume 1,£51.99,In stock,"Each year, the elite Hope's Peak Academy selects only the most gifted and talented students to ...",https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html
Crown of Midnight (Throne of Glass #2),£43.29,In stock,"""A line that should never be crossed is about to be breached.It puts this entire castle in jeop...",https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html
"Codename Baboushka, Volume 1: The Conclave of Death",£36.72,In stock,"""What if the sexy Russian femme fatale was actually the main character?"" Mysterious young heire...",https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html
Camp Midnight,£17.08,In stock,Ben 10 and Big Hero 6 creator Steven T. Seagle returns to comics with New Yorker Magazine carto...,https://books.toscrape.com/catalogue/camp-midnight_886/index.html
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14,In stock,Tired of the pace and noise of life near London and longing for a better place to raise their y...,https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html
Burning,£28.81,In stock,"After three years in juvie, Angela Davis is just a few months shy of release, and she'll finall...",https://books.toscrape.com/catalogue/burning_884/index.html
Bossypants,£49.46,In stock,"Before Liz Lemon, before ""Weekend Update,"" before ""Sarah Palin,"" Tina Fey was just a young girl...",https://books.toscrape.com/catalogue/bossypants_883/index.html
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",£37.92,In stock,"Eisner Award-nominated writer Kelly Sue DeConnick (Pretty Deadly, Captain Marvel) and Valentine...",https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09,In stock,Children are disappearing in the Fire Nation capitol! Avatar Aang and his friends are doing eve...,https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html
Algorithms to Live By: The Computer Science of Human Decisions,£30.81,In stock,A fascinating exploration of how insights from computer algorithms can be applied to our everyd...,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
A World of Flavor: Your Gluten Free Passport,£42.95,In stock,"Trade Review:A World of Flavor, Recipes to Please All of Your GuestsThe new gluten-free cookboo...",https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html
